Famille;Genre;Espèce;Cultivar;Origine;Année de plantation;Nom du site;Localisation;Photo 1;Photo 2;Photo 3;Géolocalisation
Berberidaceae;Berberis;virgetorum;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/ef7b6ee73bf3aca1e66fabd98bc9c4de;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/7753b26d8570494058016d73a78653d8;;47.269525, -1.585142
Berberidaceae;Nandina;domestica;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/e76758d663ffcade8b457ff7cea15076;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/fd5bf0bf1b51bc8ed82ed3efdb377a75;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/1ba24f4b45477803d15b1d6182aef88c;47.270778, -1.585678
Betulaceae;Betula;ermanii;;Pépinière Val d'Erdre;2017;Jardin des Plantes;A1;;;;47.2206331, -1.5449399
Betulaceae;Betula;costata;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/227088e267a43e071da2adc7d54268bb;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/1571b8e3cd03e3825689b8943cba793d;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/fc692eaa335e7e0e69c998156ab76e42;47.270708, -1.580778
Betulaceae;Ostrya;carpinifolia;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/66cf42268133441b7f7cd60e8488e2c6;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/019bf60f0246dc4b95303451abcd3034;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/4d4fba8d574d75fce1ad2adc5ae4c294;47.271, -1.586703
Bignoniaceae;Incarvillea;forrestii H.R.Fletcher;;Hort.Botanicus Reykjavikensis,Islande;2014;Jardin des Plantes;D3A;;;;47.2201437, -1.5418754
Bignoniaceae;Incarvillea;sinensis Lam.;;JB Université Tartu (Estonie);2011;Jardin des Plantes;D3C;;;;47.2202547, -1.5418546
Bignoniaceae;Catalpa;bignonioides;;Pépinière Val d'Erdre;2017;Jardin des Plantes;A1;;;;47.2206331, -1.5449399
Bignoniaceae;Campsis;grandiflora;;;1973;Jardin des Plantes;B2;;;;47.2201934, -1.5449557
Bignoniaceae;Incarvillea;bonvalotii Bur.& Franch.;;;2011;Jardin des Plantes;D1;;;;47.2200207, -1.542118
Brassicaceae;Arabis;caucasica Willd.;;Botanischer Garten,Friedrich Jena, Jena, Allemagne;2012;Jardin des Plantes;B9;;;;47.2205226, -1.5429769
Brassicaceae;Aethionema;thomasianum Gay.;;J.Alp.Meyrin (Suisse);1997;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Brassicaceae;Aubrieta;deltoidea  DC.;;JB.Berlin (Allemagne);2008;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Brassicaceae;Hesperis;sibirica L.;;JB.Irkutsk (Russie);2006;Jardin des Plantes;C8;;;;47.2202227, -1.5426922
Buxaceae;Buxus;sempervirens;;;1973;Jardin des Plantes;B9;;;;47.2205226, -1.5429769
Caesalpiniaceae;Bauhinia;forficata;;;;Jardin d'agronomie tropicale du Grand-Blottereau;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/2ce2f896817d67647cafb55260807a88;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/88628f6fd1f5ecb90bfd97cb1c7838e2;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/0d07b22a6cefcc200c939f62042bbb61;47.226505, -1.512308
Caesalpiniaceae;Gleditsia;triacanthos;Rubylace;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/a6cdaec75132cf59b2fdcb869853ad66;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/54fa5cbf51382b9316ca341840c04887;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/18c0050750d93a44e7e0f9208a1c39eb;47.270513, -1.582753
Campanulaceae;Symphyandra;hofmannii Pant.;;B.G. Munchen (All.);2014;Jardin des Plantes;B6;;;;47.2202904, -1.5436506
Campanulaceae;Campanula;persicifolia L.;;J.E.U.de Bruxelles;2001;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Campanulaceae;Campanula;garganica Tenore;;JB.et Museum de Berolino-Dahlem (Allemagne);2006;Jardin des Plantes;E2;;;;47.2190146, -1.5427585
Campanulaceae;Campanula;sarmatica Ker-Gawl.;;JBU.Göethe de Frankfürt am Main (Allemagne);2006;Jardin des Plantes;B9;;;;47.2205226, -1.5429769
Campanulaceae;Platycodon;grandiflorus A.DC.;;JBU.Hokkaido (Japon);1993;Jardin des Plantes;D3B;;;;47.2202573, -1.5419327
Campanulaceae;Campanula;pyramidalis L.;;JBU.Labacensis de la ville Ljubljana (Slovenie);2006;Jardin des Plantes;B4;;;;47.2205218, -1.5436966
Caprifoliaceae;Abelia;x grandiflora;Francis Mason;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/8094ab1982017064b104d26923426c67;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/4510b3ed571c05b7e3f408e6759c49a6;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/11d745d5221510bcf2bb30ab5e18148f;47.271787, -1.587217
Caprifoliaceae;Abelia;x grandiflora;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/3534271349004324b9677b8622120463;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/f1e12ef1548db56a2c51e99ad673ba64;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/e411d39d483762582725bfabcb0713f1;47.2716, -1.586588
Caprifoliaceae;Lonicera;demissa;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/1ef469049090beda7bd752d32100f3e7;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/33aaea4192df1b1ffd66afeeb95b5638;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/e85983cac6e5accacc725fad169c0c71;47.269897, -1.584544
Caprifoliaceae;Lonicera;morrowii;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/dfe8155944eb0b44b3e674afc6b348be;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/7e5c76d9b8d8d12282c14c5bf2869fd1;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/669e980fb073131bf47efe59552d63b3;47.269867, -1.581647
Caryophyllaceae;Saponaria;lutea L.;;B.G. Tartu (Estonie);2015;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Caryophyllaceae;Silene;chungtienensis W.W.Sm.;;Botanische Garten (Meckenheimer), Bonn, Allemagne;2012;Jardin des Plantes;E1;;;;47.2190459, -1.5436715
Caryophyllaceae;Silene;saxifraga L.;;Botanischer Garten Karl-Franzens, Graz, Autriche;2012;Jardin des Plantes;C8;;;;47.2202227, -1.5426922
Caryophyllaceae;Silene;cintrana Rothm.;;BVGA Cordoba (Esp.);2015;Jardin des Plantes;C3;;;;47.2198464, -1.5432582
Caryophyllaceae;Silene;lerchenfeldiana Baumg.;;Hortus Botanicus Reykjavikensis, Reykjavik, Islande;2013;Jardin des Plantes;C8;;;;47.2202227, -1.5426922
Caryophyllaceae;Dianthus;pontederae A.Kern.;;J.Alp.Belvedere Wien (Autriche);1997;Jardin des Plantes;E2;;;;47.2190146, -1.5427585
Caryophyllaceae;Silene;pygmaea Adam;;J.B.ST.Andrews,Ecosse;2014;Jardin des Plantes;B6;;;;47.2202904, -1.5436506
Caryophyllaceae;Gypsophila;scorzonerifolia Ser.;;JB. Ljubljani (Slovénie);2011;Jardin des Plantes;C4;;;;47.2195866, -1.5429564
Caryophyllaceae;Dianthus;superbus L.;;JB.Kyoto (Japon);2008;Jardin des Plantes;D3C;;;;47.2202547, -1.5418546
Caryophyllaceae;Dianthus;plumarius L.;;JB.Museum Klagenfurt (Autriche);2004;Jardin des Plantes;B3;;;;47.220075, -1.5444508
Caryophyllaceae;Dianthus;arenarius L.;bohemicus O. Sch warz;JB.Olomouc (République Tchèque);1999;Jardin des Plantes;C8;;;;47.2202227, -1.5426922
Caryophyllaceae;Lychnis;yunnanensis Bakerf.;;JBU.Edmonton (Canada);1987;Jardin des Plantes;D3;;;;47.2202913, -1.5420155
Caryophyllaceae;Minuartia;brotherana Woron.;;Komarov Botanicale institute (Russie);2014;Jardin des Plantes;B4;;;;47.2205218, -1.5436966
Caryophyllaceae;Silene;zawadzkii Herbich.;;Université de Postdam (Allemagne);2011;Jardin des Plantes;C8;;;;47.2202227, -1.5426922
Celastraceae;Euonymus;alatus;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/4288b7ba492f9f5e9d6013fb03d82c9d;;;47.269525, -1.585142
Cistaceae;Helianthemum;canum Boiss.;;J.Alp.U.Insbruck (Autriche);2006;Jardin des Plantes;B4;;;;47.2205218, -1.5436966
Coriariaceae;Coriaria;japonica;;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/9e8bf0c37ded8755233905d18fcf4c4f;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/b7b2b16bbafc56cda8bc39eb1c9d99bf;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/e0e583923d34c182e2cba5bb459aa23b;47.270472, -1.581805
Cornaceae;Cornus;kousa;Bultinck's Beauty;;;Arboretum Cimetière Parc;;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/31d00064c7be46b28b60876dc3d01fae;https://data.nantesmetropole.fr/api/explore/v2.1/catalog/datasets/244400404_collection-vegetale-nantes/files/600f6cf63252201794b171f6f9bdc89a;;47.270436, -1.581289
